service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
242725051,1,1,1,1,1,0,0,20220404,20220415
242992502,0,0,0,0,0,1,0,20220409,20220409
241339601,0,0,0,0,0,0,1,20220410,20220501
243229503,0,0,0,0,0,1,0,20220416,20220430
242441002,1,1,1,1,1,0,0,20220419,20220429
243522003,1,1,1,1,1,0,0,20220422,20220422
243294504,0,0,0,0,0,1,0,20220423,20220423
243302604,0,0,0,0,0,0,1,20220424,20220424
243277050,1,1,1,1,1,0,0,20220404,20220415
241479500,0,0,0,0,0,1,0,20220409,20220430
241426600,0,0,0,0,0,0,1,20220410,20220501
243550501,0,0,0,0,0,1,0,20220416,20220416
243528601,0,0,0,0,0,0,1,20220417,20220418
241650000,1,1,1,1,1,0,0,20220419,20220429
243278050,1,1,1,1,1,0,0,20220404,20220415
241478500,0,0,0,0,0,1,0,20220409,20220430
241427600,0,0,0,0,0,0,1,20220410,20220501
241651000,1,1,1,1,1,0,0,20220419,20220429
243279050,1,1,1,1,1,0,0,20220404,20220414
241516500,0,0,0,0,0,1,0,20220409,20220430
241428600,0,0,0,0,0,0,1,20220410,20220501
243831051,1,1,1,1,1,0,0,20220415,20220415
243549501,0,0,0,0,0,1,0,20220416,20220416
243527601,0,0,0,0,0,0,1,20220417,20220418
243867001,1,1,1,1,1,0,0,20220419,20220419
241883000,1,1,1,1,1,0,0,20220420,20220429
242912050,1,1,1,1,1,0,0,20220404,20220415
241423500,0,0,0,0,0,1,0,20220409,20220430
241399600,0,0,0,0,0,0,1,20220410,20220501
242077001,1,1,1,1,1,0,0,20220419,20220429
242987050,1,1,1,1,1,0,0,20220404,20220415
242657501,0,0,0,0,0,1,0,20220409,20220430
242634601,0,0,0,0,0,0,1,20220410,20220501
242685001,1,1,1,1,1,0,0,20220419,20220429
243146070,1,1,1,1,1,0,0,20220404,20220414
243835071,1,1,1,1,1,0,0,20220408,20220415
241740501,0,0,0,0,0,1,0,20220409,20220430
241755601,0,0,0,0,0,0,1,20220410,20220501
241784001,1,1,1,1,1,0,0,20220419,20220428
242694002,1,1,1,1,1,0,0,20220422,20220429
243137071,1,1,1,1,1,0,0,20220404,20220415
241637501,0,0,0,0,0,1,0,20220409,20220430
241638601,0,0,0,0,0,0,1,20220410,20220501
241636001,1,1,1,1,1,0,0,20220419,20220429
243322074,1,1,1,1,1,0,0,20220404,20220415
241759501,0,0,0,0,0,1,0,20220409,20220430
241760601,0,0,0,0,0,0,1,20220410,20220501
241758001,1,1,1,1,1,0,0,20220419,20220429
243026070,1,1,1,1,1,0,0,20220404,20220415
241766500,0,0,0,0,0,1,0,20220409,20220430
241764600,0,0,0,0,0,0,1,20220410,20220501
243836601,0,0,0,0,0,0,1,20220418,20220418
241768000,1,1,1,1,1,0,0,20220419,20220429
242988050,1,1,1,1,1,0,0,20220404,20220415
242644501,0,0,0,0,0,1,0,20220409,20220430
242638601,0,0,0,0,0,0,1,20220410,20220501
242679001,1,1,1,1,1,0,0,20220419,20220429
242683071,1,1,1,1,1,0,0,20220420,20220427
243054070,1,1,1,1,1,0,0,20220404,20220415
241648501,0,0,0,0,0,1,0,20220409,20220430
241643601,0,0,0,0,0,0,1,20220410,20220501
241653001,1,1,1,1,1,0,0,20220419,20220429
243319070,1,1,1,1,1,0,0,20220404,20220415
241904501,0,0,0,0,0,1,0,20220409,20220430
241874601,0,0,0,0,0,0,1,20220410,20220501
241916001,1,1,1,1,1,0,0,20220419,20220429
241920031,1,1,1,1,1,0,0,20220420,20220427
243276050,1,1,1,1,1,0,0,20220404,20220415
243076501,0,0,0,0,0,1,0,20220409,20220416
243075601,0,0,0,0,0,0,1,20220410,20220418
241882000,1,1,1,1,1,0,0,20220419,20220429
241517500,0,0,0,0,0,1,0,20220423,20220423
241429600,0,0,0,0,0,0,1,20220424,20220424
244061502,0,0,0,0,0,1,0,20220430,20220430
244045602,0,0,0,0,0,0,1,20220501,20220501
243348070,1,1,1,1,1,0,0,20220404,20220415
242296501,0,0,0,0,0,1,0,20220409,20220430
242293601,0,0,0,0,0,0,1,20220410,20220501
242304001,1,1,1,1,1,0,0,20220419,20220429
243055070,1,1,1,1,1,0,0,20220404,20220415
241897500,0,0,0,0,0,1,0,20220409,20220430
241899600,0,0,0,0,0,0,1,20220410,20220501
241849000,1,1,1,1,1,0,0,20220419,20220429
241895040,1,1,1,1,1,0,0,20220420,20220427
243168070,1,1,1,1,1,0,0,20220404,20220415
241608501,0,0,0,0,0,1,0,20220409,20220430
241604601,0,0,0,0,0,0,1,20220410,20220501
241631001,1,1,1,1,1,0,0,20220419,20220429
243127071,1,1,1,1,1,0,0,20220404,20220415
241778501,0,0,0,0,0,1,0,20220409,20220430
241779601,0,0,0,0,0,0,1,20220410,20220501
241777001,1,1,1,1,1,0,0,20220419,20220429
243016071,1,1,1,1,1,0,0,20220404,20220415
242421500,0,0,0,0,0,1,0,20220409,20220430
242423600,0,0,0,0,0,0,1,20220410,20220501
242419000,1,1,1,1,1,0,0,20220419,20220429
