service_id,date,exception_type
241339601,20220424,2
241339601,20220418,1
243229503,20220423,2
242441002,20220422,2
241479500,20220416,2
241426600,20220417,2
243528601,20220418,1
241427600,20220418,1
241516500,20220416,2
241428600,20220417,2
243527601,20220418,1
241399600,20220418,1
242634601,20220418,1
243146070,20220408,2
243835071,20220411,2
243835071,20220412,2
243835071,20220413,2
243835071,20220414,2
241755601,20220418,1
241784001,20220422,2
242694002,20220425,2
242694002,20220426,2
242694002,20220427,2
242694002,20220428,2
241638601,20220418,1
241760601,20220418,1
243836601,20220418,1
242638601,20220418,1
242679001,20220420,2
242679001,20220427,2
242683071,20220421,2
242683071,20220422,2
242683071,20220425,2
242683071,20220426,2
241643601,20220418,1
241874601,20220418,1
241916001,20220420,2
241916001,20220427,2
241920031,20220421,2
241920031,20220422,2
241920031,20220425,2
241920031,20220426,2
243075601,20220418,1
242293601,20220418,1
241899600,20220418,1
241849000,20220420,2
241849000,20220427,2
241895040,20220421,2
241895040,20220422,2
241895040,20220425,2
241895040,20220426,2
241604601,20220418,1
241779601,20220418,1
242423600,20220418,1
241820600,20220418,1
241878601,20220418,1
242405601,20220418,1
241400600,20220418,1
241913600,20220418,1
241850601,20220418,1
241868601,20220418,1
241537600,20220418,1
241826001,20220420,2
241826001,20220427,2
241828031,20220421,2
241828031,20220422,2
241828031,20220425,2
241828031,20220426,2
243056071,20220408,2
243071081,20220411,2
243071081,20220412,2
243071081,20220413,2
243071081,20220414,2
241634601,20220418,1
243869002,20220420,2
243869002,20220422,2
243869002,20220427,2
243903032,20220421,2
243903032,20220422,2
243903032,20220425,2
243903032,20220426,2
243919052,20220425,2
243919052,20220426,2
243919052,20220427,2
243919052,20220428,2
241441601,20220418,1
241852600,20220418,1
241818001,20220420,2
241818001,20220427,2
241831031,20220421,2
241831031,20220422,2
241831031,20220425,2
241831031,20220426,2
241417601,20220418,1
243900002,20220420,2
243900002,20220427,2
243902032,20220421,2
243902032,20220422,2
243902032,20220425,2
243902032,20220426,2
241379601,20220418,1
241381001,20220420,2
241381001,20220427,2
241390031,20220421,2
241390031,20220422,2
241390031,20220425,2
241390031,20220426,2
242597601,20220418,1
242687001,20220420,2
242687001,20220427,2
242736071,20220421,2
242736071,20220422,2
242736071,20220425,2
242736071,20220426,2
241612601,20220418,1
241460601,20220418,1
241455001,20220420,2
241455001,20220427,2
241456031,20220421,2
241456031,20220422,2
241456031,20220425,2
241456031,20220426,2
243416602,20220418,1
243898002,20220420,2
243898002,20220427,2
243918032,20220421,2
243918032,20220422,2
243918032,20220425,2
243918032,20220426,2
242954603,20220418,1
241482601,20220418,1
243147071,20220408,2
243569072,20220411,2
243569072,20220412,2
243569072,20220413,2
243569072,20220414,2
241742601,20220418,1
243838603,20220418,1
243856603,20220418,1
241807001,20220420,2
241807001,20220427,2
241806031,20220421,2
241806031,20220422,2
241806031,20220425,2
241806031,20220426,2
242041600,20220418,1
241829601,20220418,1
243444602,20220418,1
244010603,20220418,1
243949003,20220420,2
243949003,20220427,2
244003033,20220421,2
244003033,20220422,2
244003033,20220425,2
244003033,20220426,2
241924601,20220418,1
243959002,20220420,2
243959002,20220427,2
244012032,20220421,2
244012032,20220422,2
244012032,20220425,2
244012032,20220426,2
243182070,20220407,2
243182070,20220414,2
243235071,20220408,2
243235071,20220411,2
243235071,20220412,2
243235071,20220413,2
241335600,20220418,1
241317000,20220421,2
241317000,20220428,2
241319060,20220422,2
241319060,20220425,2
241319060,20220426,2
241319060,20220427,2
241662600,20220418,1
241312601,20220418,1
241890601,20220418,1
241433501,20220423,2
241302601,20220424,2
241302601,20220418,1
241434001,20220420,2
241434001,20220427,2
241574031,20220421,2
241574031,20220422,2
241574031,20220425,2
241574031,20220426,2
241962601,20220418,1
243840601,20220418,1
242287000,20220420,2
242287000,20220427,2
242562030,20220421,2
242562030,20220422,2
242562030,20220425,2
242562030,20220426,2
243356603,20220418,1
243337601,20220418,1
241518601,20220418,1
241843601,20220418,1
242302601,20220418,1
241859601,20220418,1
241960601,20220418,1
241837601,20220418,1
243536603,20220418,1
241397600,20220418,1
241970600,20220418,1
241445600,20220418,1
243365081,20220411,2
243365081,20220412,2
243365081,20220413,2
243365081,20220414,2
242439001,20220425,2
242439001,20220426,2
242439001,20220427,2
242439001,20220428,2
243366081,20220411,2
243366081,20220412,2
243366081,20220413,2
243366081,20220414,2
242549001,20220425,2
242549001,20220426,2
242549001,20220427,2
242549001,20220428,2
243260070,20220411,2
243260070,20220412,2
243260070,20220413,2
243260070,20220414,2
242449000,20220425,2
242449000,20220426,2
242449000,20220427,2
242449000,20220428,2
243394081,20220411,2
243394081,20220412,2
243394081,20220413,2
243394081,20220414,2
241857001,20220425,2
241857001,20220426,2
241857001,20220427,2
241857001,20220428,2
243367081,20220411,2
243367081,20220412,2
243367081,20220413,2
243367081,20220414,2
244134052,20220425,2
244134052,20220426,2
244134052,20220427,2
244134052,20220428,2
243368081,20220411,2
243368081,20220412,2
243368081,20220413,2
243368081,20220414,2
241956001,20220425,2
241956001,20220426,2
241956001,20220427,2
241956001,20220428,2
243089081,20220411,2
243089081,20220412,2
243089081,20220413,2
243089081,20220414,2
241570001,20220425,2
241570001,20220426,2
241570001,20220427,2
241570001,20220428,2
241328001,20220418,2
241329001,20220418,2
242433601,20220418,1
243091602,20220418,1
243532601,20220418,1
241325001,20220421,2
241325001,20220422,2
241325001,20220425,2
