route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2,1,"GARE DE L'OUEST - STOCKEL",,1,,B5378C,FFFFFF
4,2,"SIMONIS - ELISABETH",,1,,ED6C23,FFFFFF
5,3,"ESPLANADE - CHURCHILL",,0,,B4BD10,000000
8,4,"GARE DU NORD - STALLE (P)",,0,,EA4F80,000000
1,5,"ERASME - HERRMANN-DEBROUX",,1,,F6A90B,FFFFFF
3,6,"ROI BAUDOUIN - ELISABETH",,1,,0066A3,FFFFFF
6,7,"VANDERKINDERE - HEYSEL",,0,,EFE048,000000
9,8,"LOUISE - ROODEBEEK",,0,,169FDB,FFFFFF
10,9,"SIMONIS - ROI BAUDOUIN",,0,,C44F97,FFFFFF
13,12,"BRUSSELS AIRPORT - BRUSSELS CITY",,3,,4C8B33,FFFFFF
16,13,"ETANGS NOIRS - UZ-VUB",,3,,91BEE7,000000
17,14,"UZ-VUB - GARE DU NORD",,3,,F29DC3,000000
18,17,"BEAULIEU - HEILIGENBORRE",,3,,E43C2E,FFFFFF
11,19,"GROOT-BIJGAARDEN - DE WAND",,0,,E43C2E,FFFFFF
19,20,"HUNDERENVELD - GARE DU NORD",,3,,F3C300,000000
15,21,"MAES - LUXEMBOURG",,3,,FFDC01,000000
21,25,"BOONDAEL GARE - ROGIER",,0,,A12944,FFFFFF
23,27,"LUXEMBOURG - PLEIADES",,3,,91BEE7,000000
24,28,"BRABANCONNE - KONKEL",,3,,E43C2E,FFFFFF
25,29,"DE BROUCKERE - HOF TEN BERG",,3,,ED7807,FFFFFF
28,33,"DANSAERT - LOUISE",,3,,F29DC3,000000
29,34,"PORTE DE NAMUR - SAINTE-ANNE",,3,,F3C300,000000
30,36,"SCHUMAN - KONKEL",,3,,91BEE7,000000
31,37,"ALBERT - GARE DE LINKEBEEK",,3,,306196,FFFFFF
34,38,"GARE CENTRALE - HEROS",,3,,A67CB0,FFFFFF
36,39,"MONTGOMERY - BAN-EIK",,0,,E43C2E,FFFFFF
38,41,"HEROS - TRANSVAAL",,3,,91BEE7,000000
39,42,"ROODEBEEK - VIADUC E40",,3,,4C8B33,FFFFFF
32,43,"OBSERVATOIRE - VIVIER D'OIE",,3,,9B6018,FFFFFF
35,44,"MONTGOMERY - TERVUREN STATION",,0,,F3C300,000000
40,45,"ROODEBEEK - SAINT-VINCENT",,3,,A67CB0,FFFFFF
27,46,"MOORTEBEEK - WTC-GLIBERT",,3,,E43C2E,FFFFFF
43,47,"HEEMBEEK - VILVOORDE STATION",,3,,A67CB0,FFFFFF
44,48,"ANNEESSENS - DECROLY",,3,,ED7807,FFFFFF
45,49,"GARE DU MIDI - SIMONIS",,3,,306196,FFFFFF
46,50,"GARE DU MIDI - LOT STATION",,3,,B4BD10,000000
47,51,"STADE - VAN HAELEN",,0,,F3C300,000000
26,52,"GARE CENTRALE - FOREST NATIONAL",,3,,FFDC01,000000
49,53,"WESTLAND SHOPPING - HOPITAL MILITAIRE",,3,,4C8B33,FFFFFF
50,54,"TRONE - FOREST (BERVOETS)",,3,,E43C2E,FFFFFF
22,55,"DA VINCI - ROGIER",,0,,F3C300,000000
52,56,"SCHUMAN - BUDA",,3,,ED7807,FFFFFF
53,57,"GARE DU NORD - HOPITAL MILITAIRE",,3,,E43C2E,FFFFFF
54,58,"VILVOORDE STATION - YSER",,3,,4C8B33,FFFFFF
55,59,"HOPITAL ETTERBEEK-IXELLES - BORDET STATION",,3,,9B6018,FFFFFF
56,60,"AMBIORIX - UCCLE CALEVOET",,3,,F29DC3,000000
57,61,"GARE DU NORD - MONTGOMERY",,3,,FFDC01,000000
7,62,"EUROCONTROL - CIMETIERE DE JETTE",,0,,F29DC3,000000
58,63,"GARE CENTRALE - CIMETIERE DE BRUXELLES",,3,,91BEE7,000000
60,64,"PORTE DE NAMUR - BORDET STATION",,3,,E43C2E,FFFFFF
61,65,"GARE CENTRALE - MACHELEN",,3,,F3C300,000000
62,66,"GARE CENTRALE - PEAGE",,3,,306196,FFFFFF
14,69,"SCHAERBEEK GARE - JULES BORDET",,3,,ED7807,FFFFFF
33,70,"ALBERT - HOMBORCH",,3,,FFDC01,000000
63,71,"DE BROUCKERE - DELTA",,3,,4C8B33,FFFFFF
64,72,"ULB - ADEPS",,3,,F29DC3,000000
42,73,"CERIA - GARE DU MIDI",,3,,F29DC3,000000
48,74,"CLEMENCE EVERARD - UCCLE-STALLE",,3,,A67CB0,FFFFFF
65,75,"HEROS - BON AIR",,3,,FFDC01,000000
66,76,"KRAAINEM - OPPEM",,3,,FFDC01,000000
67,77,"KRAAINEM - HIPPODROME",,3,,4C8B33,FFFFFF
